Date,AMZN,BIDU,NKE,UAA
2010-12-21,184.75,101.25,23.075,7.4129
2010-12-22,184.76,100.5,21.7375,7.0371
2010-12-23,182.59,100.16,21.5125,7.0835
2010-12-27,182.14,100.13,21.4575,7.0383
2010-12-28,181.09,98.71,21.5825,6.9053
2010-12-29,183.37,99.11,21.3175,7.0513
2010-12-30,182.75,98.21,21.44,7.121
2010-12-31,180,96.53,21.355,7.0823
2011-01-03,184.22,99.73,21.5225,7.1765
2011-01-04,185.01,100.97,20.9925,7.0577
2011-01-05,187.42,104.63,21.13,7.1727
2011-01-06,185.86,105.16,20.94,7.0564
2011-01-07,185.49,106.95,20.8825,6.9157
2011-01-10,184.68,105.98,21.0425,7.1313
2011-01-11,184.34,106.28,21.005,7.0241
2011-01-12,184.08,105.93,20.9325,7.1055
2011-01-13,185.53,106.25,20.64,7.1636
2011-01-14,188.75,107.73,21.0175,7.2708
2011-01-18,191.25,108.15,21.015,7.3392
2011-01-19,186.87,107.31,20.915,7.13
2011-01-20,181.96,105.66,20.7675,6.9854
2011-01-21,177.42,105.1,20.575,6.8769
2011-01-24,176.85,106.36,20.665,6.9118
2011-01-25,176.7,105.89,20.72,6.8446
2011-01-26,175.39,107.95,21,6.9583
2011-01-27,184.45,109.05,20.6925,7.7215
2011-01-28,171.14,106.54,20.365,7.7163
2011-01-31,169.64,108.63,20.62,7.7306
2011-02-01,172.11,118.73,20.8875,7.7719
2011-02-02,173.53,118.02,20.9775,7.6724
2011-02-03,173.71,118.5,20.95,7.7822
2011-02-04,175.93,117.68,21.435,8.2265
2011-02-07,176.43,118.96,21.625,8.4602
2011-02-08,183.06,119.84,21.6775,8.6513
2011-02-09,185.3,123.01,21.8125,8.5842
2011-02-10,186.21,125.79,21.6975,8.9264
2011-02-11,189.25,129.58,21.5525,9.0155
2011-02-14,190.42,128.81,21.4425,8.9058
2011-02-15,189.03,128.04,21.3875,8.6965
2011-02-16,186.62,128.71,21.4375,8.7521
2011-02-17,187.76,128.54,21.51,8.7211
2011-02-18,186.5,126.8,22.205,8.7611
2011-02-22,180.42,120.28,21.8075,8.5429
2011-02-23,176.68,115.9,21.5475,8.2975
2011-02-24,177.75,118.81,21.63,8.3375
2011-02-25,177.24,120.59,21.995,8.5261
2011-02-28,173.29,121.16,22.2575,8.5532
2011-03-01,169.44,117.83,21.925,8.3259
2011-03-02,172.02,119.49,22.0825,8.2497
2011-03-03,172.79,121.85,22.46,8.5958
2011-03-04,171.67,122.34,22.47,8.6953
2011-03-07,169.08,120.18,22.23,8.7637
2011-03-08,166.89,120.18,22.2975,8.9742
